R_BUILDING,R_LOCATION,R_TYPE,R-System_Ownership,R_SIZE  (ekW),R_YR_INSTA,Coordinates
9 Hanna Ave - Parking Garage,9 Hanna Ave,Solar Photovoltaic (PV),Generated,50,2009,
Agincourt Community Centre & Arena,31 Glen Watford Dr,Solar Photovoltaic (PV),Generated,48,2013,
Agincourt Recreation Centre Indoor Pool,31 Glen Watford Dr,Solar Hot Water,Generated,166,2006,
Albion Community Centre,1485 Albion Rd,Solar Hot Water,Generated,67,2009,
Armour Heights Community Centre,2140 Avenue Rd,Solar Air Heating,Generated,120,2008,
Birchmount Recreation Centre,93 Birchmount Rd,Solar Hot Water,Purchased,245,2010,
Centennial Recreation Centre Indoor Pool,1967 Ellesmere Rd,Solar Hot Water,Generated,174,2007,
Central Maintenance Garage,843 Eastern Ave,Solar Air Heating,Generated,420,2002,
City Hall,100 Queen St W,Deep Lake Water Cooling,Purchased,,2008,
Coronation Park,711 Lakeshore Blvd W,Geothermal,Generated,13.4,1986,
Dawes Crossing,1052 Victoria Park Ave,Solar Photovoltaic (PV),Generated,3.44,2013,
Dawes Crossing,1052 Victoria Park Ave,Wind Turbine,Generated,3,2013,
East York Civic Centre, 850 Coxwell Ave,Solar Photovoltaic (PV),Generated,40,2011,
Edithvale Community Centre,131 Finch Ave W,Solar Photovoltaic (PV),Generated,10,2014,
EMS Station 33,760 Dovercourt Rd,Solar Photovoltaic (PV),Generated,4,2014,
Exhibition Place,210 Princes’ Boulevard,Wind Turbine,Hosted,,2002,
Exhibition Place - Press Building,210 Princes’ Boulevard,Geothermal,Generated,,2008,
Exhibition Place-Better Living Centre,210 Princes’ Boulevard,Solar Photovoltaic (PV),Hosted,250,2011,
Exhibition Place-Horse Palace,210 Princes’ Boulevard,Solar Photovoltaic (PV),Hosted,100,2006,
Exhibition Place-Horse Palace 2,210 Princes’ Boulevard,Solar Photovoltaic (PV),Hosted,160,2011,
Fire Hall 212,8500 Sheppard Ave E,Solar Hot Water,Generated,11.3,2007,
Fire Hall 231,740 Markham Rd,Solar Hot Water,Generated,11.3,2007,
Fire Hall 334,339 Queens Quay W,Solar Photovoltaic (PV),Generated,3.2,2007,
Fire Hall 424,462 Runnymede Rd,Solar Photovoltaic (PV),Generated,1.2,2007,
Fire Hall 426,140 Lansdowne Ave,Solar Hot Water,Generated,11.3,2008,
Gihon Spring Outdoor Pool,75 Gihon Spring Dr,Solar Hot Water,Generated,87,2008,
Goulding Community Centre,45 Goulding Ave,Solar Photovoltaic (PV),Generated,75,2013,
Grandravine Community Centre,23 Grandravine Dr,Solar Photovoltaic (PV),Generated,100,2013,
High Park Teaching Kitchen,105 Colborne Lodge Dr,Solar Photovoltaic (PV),Generated,3,2014,
Horgan Water Treatment Plant,201 Copperfield Rd,Solar Photovoltaic (PV),Generated,86,2009,
Jimmie Simpson Recreatiion Centre,870 Queen St E,Solar Hot Water,Generated,280,2006,
Keele Valley Landfill Site,7 Eaglet Court,Bio-energy,Generated,31670,1995,"43.864008, -79.501300"
Malvern Community Centre,30 Sewells Road,Solar Photovoltaic (PV),Generated,210,2014,
McGregor Arena,2231 Lawrence Ave E,Solar Photovoltaic (PV),Generated,75,2012,
Metro Hall,55 John St,Deep Lake Water Cooling,Purchased,,2006,
Mimico Arena,31 Drummond St,Solar Photovoltaic (PV),Generated,50,2012,
Neilson Creative Centre,56 Neilson Dr,Solar Photovoltaic (PV),Generated,10,2014,
Old City Hall,60 Queen St W,Deep Lake Water Cooling,Purchased,,2011,
Park Lawn Outdoor Pool,340 Park Lawn Rd,Solar Hot Water,Generated,87,2008,
Police Division No.14,350 Dovercourt Rd,Geothermal,Generated,,2012,
Police Divison No.11 ,2054 Davenport Rd,Geothermal,Generated,,2011,
Police Garage ,2050 Jane St,Solar Air Heating,Generated,49,2006,
Police Headquarters,40 College St,Deep Lake Water Cooling,Purchased,,2008,
Roding Community Centre,600 Roding St,Solar Photovoltaic (PV),Generated,75,2013,
Rotary Outdoor Pool,25 11th Street,Solar Hot Water,Generated,93,2008,
Scadding Court Community Centre,707 Dundas St W,Solar Air Heating,Generated,115,2006,
Toronto Police College,70 Birmingham St,Geothermal,Generated,,2009,
Toronto Police College,70 Birmingham St,Solar Photovoltaic (PV),Generated,216,2013,
True Davidson Acres,200 Dawes Rd,Solar Hot Water,Purchased,100,2010,
Union Station,71 Front St W,Deep Lake Water Cooling,Purchased,,2011,
Victoria Village Arena,190 Bermondsey Rd,Solar Photovoltaic (PV),Generated,84,2013,
Warden Hilltop Community Centre,25 Mendelssohn St,Geothermal,Generated,,2010,
Warden Hilltop Community Centre,25 Mendelssohn St,Solar Hot Water,Generated,21.07,2010,
Warden Hilltop Community Centre,25 Mendelssohn St,Solar Photovoltaic (PV),Generated,10,2014,
Wesburn Manor,400 The West Mall,Solar Hot Water,Purchased,224,2010,
Weston Lions Outdoor Pool,2125 Lawrence Ave W,Solar Hot Water,Generated,50,2008,
York Civic Centre,2700 Eglinton Ave W,Solar Photovoltaic (PV),Generated,10,2014,
York Mills Community Centre & Arena,2539 Bayview Ave,Solar Photovoltaic (PV),Generated,75,2012,
Young Hearts Child Care Centre,5176 Yonge St,Geothermal,Generated,,2003,
